episode,timesteps,window,moving_average_reward,best_moving_average_reward,episodes_since_improvement,stopped
40,5479,40,-440.5187630250001,-440.5187630250001,0,0
41,6679,40,-444.18627185000025,-440.5187630250001,1,0
42,6789,40,-443.66789475000024,-440.5187630250001,2,0
43,6897,40,-443.34791937500023,-440.5187630250001,3,0
44,7002,40,-443.6472207000003,-440.5187630250001,4,0
45,7109,40,-442.89010802500013,-440.5187630250001,5,0
46,7212,40,-442.7082109500001,-440.5187630250001,6,0
47,7324,40,-442.86198012500006,-440.5187630250001,7,0
48,7429,40,-442.25605779999995,-440.5187630250001,8,0
49,7552,40,-442.375970275,-440.5187630250001,9,0
50,7656,40,-442.4793941749999,-440.5187630250001,10,0
51,7778,40,-447.9271621000001,-440.5187630250001,11,0
52,7903,40,-448.95520107500005,-440.5187630250001,12,0
53,8007,40,-448.52380982500017,-440.5187630250001,13,0
54,8127,40,-449.26251635000006,-440.5187630250001,14,0
55,8234,40,-448.7568697750001,-440.5187630250001,15,0
56,8342,40,-449.4750554000001,-440.5187630250001,16,0
57,8455,40,-448.37475132500003,-440.5187630250001,17,0
58,8564,40,-448.7304040749999,-440.5187630250001,18,0
59,8681,40,-447.82667754999994,-440.5187630250001,19,0
60,8793,40,-447.65712404999994,-440.5187630250001,20,0
61,8898,40,-447.41031077499986,-440.5187630250001,21,0
62,9016,40,-447.83869634999985,-440.5187630250001,22,0
63,9142,40,-450.21573757499993,-440.5187630250001,23,0
64,9243,40,-448.79540244999987,-440.5187630250001,24,0
65,9357,40,-448.209865225,-440.5187630250001,25,0
66,9467,40,-446.5292659,-440.5187630250001,26,0
67,9589,40,-445.7130116249999,-440.5187630250001,27,0
68,9703,40,-444.9137423249998,-440.5187630250001,28,0
69,9809,40,-444.8246121999999,-440.5187630250001,29,0
70,9925,40,-444.07129884999983,-440.5187630250001,30,0
71,10060,40,-447.0383182499998,-440.5187630250001,31,0
72,10191,40,-448.7721167999998,-440.5187630250001,32,0
73,10294,40,-448.30097119999994,-440.5187630250001,33,0
74,10419,40,-449.42674535,-440.5187630250001,34,0
75,10524,40,-449.366079175,-440.5187630250001,35,0
76,10633,40,-447.58502952500004,-440.5187630250001,36,0
77,10747,40,-448.0507331750001,-440.5187630250001,37,0
78,10845,40,-447.115190675,-440.5187630250001,38,0
79,10959,40,-447.07922152500004,-440.5187630250001,39,0
80,11067,40,-447.051314025,-440.5187630250001,40,1
