episode,timesteps,reward,status,recent_average_reward,recent_success_rate,saved
1,800,-300.846152,timeout,-300.846152,0.0,best_episode_model+best_average_model
9,7200,-272.821084,timeout,-593.6676656666666,0.0,best_episode_model
12,9600,-247.461582,timeout,-555.7928801666666,0.0,best_episode_model
33,26302,-3.783798,success,-585.8654442500001,0.05,best_episode_model+best_success_model
34,27102,-330.444771,timeout,-582.0177737000001,0.05,best_success_model
38,30201,290.343485,success,-561.0626023000001,0.1,best_episode_model+best_success_model
41,32601,-304.069719,timeout,-553.7514644999999,0.1,best_success_model
42,33401,-534.329649,timeout,-540.7223283499999,0.1,best_success_model
43,34201,-397.537961,timeout,-540.3251759999999,0.1,best_success_model
44,35001,-427.628183,timeout,-509.41020304999995,0.1,best_success_model
45,35801,-105.903201,timeout,-482.93500314999994,0.1,best_success_model
46,36601,-309.845019,timeout,-477.58110500000004,0.1,best_success_model
47,37401,-242.221067,timeout,-468.97403025000006,0.1,best_success_model
48,38142,223.150981,success,-425.32461299999994,0.15,best_success_model
49,38942,-259.988551,timeout,-390.19546655000005,0.15,best_success_model
50,39742,-145.807236,timeout,-361.25404205000007,0.15,best_success_model
51,40542,-376.208464,timeout,-324.42577535000004,0.15,best_success_model
52,41342,-355.053049,timeout,-302.95810565000005,0.15,best_success_model
55,43742,-460.34525,timeout,-279.51678025,0.1,best_average_model
56,44542,-145.941606,timeout,-265.32015075,0.1,best_average_model
63,50142,-174.04035,timeout,-259.01030704999994,0.05,best_average_model
