#{"t_start": 1780658522.5415869, "env_id": "None"}
r,l,t
-142.151252,57,2616.095997
-163.284008,67,2621.689302
-145.85201,58,2627.272324
-151.249382,71,2633.024902
-166.822452,77,2639.591156
-158.531294,70,2645.905107
-156.720707,78,2653.310834
-149.049345,66,2659.445931
-148.412258,62,2664.892003
-154.704638,68,2671.069985
-165.641334,67,2676.6787
-171.68724,66,2682.687987
-172.585971,68,2688.843865
-160.537375,67,2695.162483
-220.452708,100,2702.841475
-157.797291,56,2708.236284
-164.629862,76,2714.328235
-159.287305,71,2720.732911
-180.999855,83,2727.412938
-168.47962,68,2733.490364
-180.435764,86,2740.813695
-175.396523,90,2748.161257
-195.10883,87,2754.883015
-158.034737,62,2760.64184
-187.747735,78,2767.329375
-179.474864,85,2774.14149
-168.560877,80,2780.946894
-319.70568,165,2792.183934
-210.60502,105,2800.194002
-165.544415,91,2807.522112
-189.741389,99,2815.196618
-179.318291,93,2822.886173
-160.832991,86,2830.060427
-210.866278,104,2837.645967
-259.012137,134,2847.291315
-189.759549,100,2855.008161
-169.553739,69,2861.358014
-153.324338,65,2867.553002
-215.526954,109,2876.374157
-220.983906,107,2884.731688
-178.475268,86,2892.501246
-292.742311,139,2902.649897
-141.323954,54,2908.391854
-200.822556,94,2916.148451
-321.389923,134,2926.292823
-163.517181,82,2934.222838
-188.656492,82,2941.269396
-143.654359,52,2948.215
62.771871,50,2953.752118
-150.97172,60,2959.728343
-163.772334,70,2965.513563
-147.935088,67,2971.618981
-164.468419,70,2978.073117
-150.280856,64,2985.16947
-162.86439,83,2992.111147
-152.679941,51,3000.190206
-155.630523,74,3007.52864
-186.590392,97,3017.082059
-150.392595,72,3024.170909
-146.660913,65,3030.069671
-167.651235,80,3037.108105
-148.93623,67,3043.319227
-146.989592,66,3049.837952
-178.731981,88,3056.961765
-154.889248,72,3064.226725
-160.110889,77,3071.027472
-175.898565,84,3078.418113
-174.086944,90,3085.79407
-160.743862,80,3093.152999
-174.542954,63,3099.229039
-160.735228,70,3106.101178
-146.824244,59,3111.914578
-157.467105,76,3118.709088
-151.268782,70,3125.323668
-170.634769,91,3132.712187
-165.1163,79,3139.768054
-136.926728,53,3145.723386
-153.893356,62,3151.638263
-157.341416,59,3158.132749
-151.536427,75,3165.505988
-144.945318,58,3171.483882
-231.334819,114,3180.863982
-150.05952,61,3186.758888
-146.229027,62,3192.566476
-147.413783,68,3198.670257
-205.425006,101,3207.184634
-191.693195,93,3215.047628
-149.270742,65,3221.034648
-163.497593,77,3228.155844
-180.709776,90,3236.096567
-188.231919,91,3243.837028
-164.420598,74,3250.257962
-170.854098,86,3258.369103
-201.769597,93,3265.980409
-158.882025,63,3272.080549
-178.557962,77,3278.882373
-148.78447,60,3285.984409
-165.07592,98,3293.75368
-176.652282,86,3301.215776
-198.472654,97,3308.890408
-179.464761,84,3316.272954
-148.890616,67,3322.263628
-186.135073,76,3330.419112
-175.243415,87,3337.972339
-154.611637,67,3344.550297
-178.113448,106,3353.672712
-199.479976,100,3362.461663
-151.79822,67,3369.602817
-149.84986,61,3376.265891
-183.081556,110,3385.282714
-171.96425,89,3393.70545
-212.707851,107,3402.280307
-199.42867,111,3411.441804
-196.033381,99,3419.511587
-207.964234,111,3428.136287
-152.944106,75,3434.777786
-186.375077,99,3443.571763
-185.110781,95,3451.239828
57.266545,56,3457.864153
-180.076591,88,3466.016376
-177.528621,100,3474.326641
59.29928,53,3479.930263
-286.279079,178,3492.43367
-176.118109,99,3500.559343
-178.059903,96,3509.237349
-229.368961,126,3518.441239
-183.701457,105,3527.006261
-170.063581,78,3534.07422
-166.811857,69,3540.464498
-207.281014,112,3550.222056
-173.494135,89,3557.519497
-158.167475,83,3564.865953
-160.262161,79,3572.326507
-191.209784,111,3581.313575
-214.858067,113,3590.915591
-157.206173,78,3598.645801
60.087213,60,3604.319287
-165.101314,83,3611.824597
-147.50644,68,3618.519441
-176.279592,99,3626.846787
61.306992,53,3632.52262
-157.010739,80,3639.810235
-168.733829,85,3647.806201
-236.823317,134,3658.251063
-170.290516,89,3665.758453
-169.587298,90,3673.487425
57.789895,52,3679.599956
56.186502,55,3685.424396
-159.269265,71,3692.997041
-200.935107,99,3702.131407
-158.053147,77,3708.667171
-193.220509,95,3717.148775
-147.201909,71,3723.51931
-202.679971,106,3732.255072
-180.26262,80,3739.870152
-168.210662,87,3747.218031
62.990807,53,3752.956836
-160.418743,90,3761.203656
-190.051583,99,3769.344979
-152.637009,78,3776.537295
-173.365198,87,3784.292575
-177.909695,96,3792.066456
-322.916589,148,3802.484878
-239.077135,123,3812.263723
-235.06467,157,3823.364613
60.601032,54,3829.245793
-167.588576,86,3837.000409
-166.433227,92,3844.397858
-171.731575,90,3851.962354
-149.819369,72,3858.714187
-247.755105,148,3870.096081
-176.889729,75,3877.143495
-169.506546,95,3885.049402
-187.925792,110,3894.183506
-146.18682,68,3900.812835
