episode,timesteps,window,moving_average_reward,best_moving_average_reward,episodes_since_improvement,stopped
30,10684,30,-1529.4000111000003,-1529.4000111000003,0,0
31,10877,30,-1508.935025166667,-1508.935025166667,0,0
32,11220,30,-1427.3992333333335,-1427.3992333333335,0,0
33,11387,30,-1358.2047865666668,-1358.2047865666668,0,0
34,11563,30,-1343.8532961000003,-1343.8532961000003,0,0
35,11830,30,-1271.6158407333337,-1271.6158407333337,0,0
36,11992,30,-1178.3134617333335,-1178.3134617333335,0,0
37,12282,30,-1199.6723819000001,-1178.3134617333335,1,0
38,12499,30,-1137.6426388666664,-1137.6426388666664,0,0
39,12879,30,-1141.7879969333333,-1137.6426388666664,1,0
40,13199,30,-1103.4271458333335,-1103.4271458333335,0,0
41,13580,30,-1103.8831123999998,-1103.4271458333335,1,0
42,13749,30,-1097.9309466999996,-1097.9309466999996,0,0
43,14416,30,-1164.9128487,-1097.9309466999996,1,0
44,14925,30,-1191.5935375666666,-1097.9309466999996,2,0
45,15097,30,-1172.5181451333333,-1097.9309466999996,3,0
46,15208,30,-1150.3207589999997,-1097.9309466999996,4,0
47,15511,30,-1167.6089308999997,-1097.9309466999996,5,0
48,15882,30,-1184.3147112666666,-1097.9309466999996,6,0
49,16577,30,-1280.0877093000001,-1097.9309466999996,7,0
50,16736,30,-1241.2851013666666,-1097.9309466999996,8,0
51,17436,30,-1353.0089133666665,-1097.9309466999996,9,0
52,18136,30,-1446.302450233333,-1097.9309466999996,10,0
53,18836,30,-1565.718729733333,-1097.9309466999996,11,0
54,19067,30,-1540.4601702999998,-1097.9309466999996,12,0
55,19483,30,-1493.4151092,-1097.9309466999996,13,0
56,19712,30,-1474.2817820333332,-1097.9309466999996,14,0
57,20077,30,-1502.9804709333332,-1097.9309466999996,15,0
58,20547,30,-1532.9346481,-1097.9309466999996,16,0
59,20887,30,-1538.2821530666665,-1097.9309466999996,17,0
60,21205,30,-1542.7570529666666,-1097.9309466999996,18,0
61,21493,30,-1555.5292470666666,-1097.9309466999996,19,0
62,21680,30,-1533.8703937999999,-1097.9309466999996,20,0
63,22210,30,-1597.6862237999999,-1097.9309466999996,21,0
64,22614,30,-1640.1437647333332,-1097.9309466999996,22,0
65,23141,30,-1682.4001065666666,-1097.9309466999996,23,0
66,23552,30,-1722.6539200666666,-1097.9309466999996,24,0
67,24008,30,-1751.3832975,-1097.9309466999996,25,0
68,24708,30,-1858.9460784,-1097.9309466999996,26,0
69,25408,30,-1931.5545176,-1097.9309466999996,27,0
70,25661,30,-1922.4471235333333,-1097.9309466999996,28,0
71,25805,30,-1884.7689398000002,-1097.9309466999996,29,0
72,26001,30,-1885.3503575333336,-1097.9309466999996,30,1
