episode,timesteps,reward,status,recent_average_reward,recent_success_rate,distance_to_target,targets_reached,saved
1,281,-11.118194,success,-11.118194,1.0,0.07505524903535843,0,best_episode_model+best_average_model+best_success_model+best_precision_model
3,1290,27.631602,success,-115.45285266666667,0.6666666666666666,0.08015986531972885,0,best_episode_model
4,1417,55.73857,success,-72.65499700000001,0.75,0.09660922735929489,0,best_episode_model
5,1690,3.984087,success,-57.32718020000001,0.8,0.07252577692270279,0,best_precision_model
7,2828,-29.733875,success,-96.57266128571429,0.7142857142857143,0.050504170358181,0,best_precision_model
14,4890,82.856896,success,-62.459848071428574,0.7857142857142857,0.07364024221897125,0,best_episode_model
29,9684,91.118979,success,-24.712001849999996,0.9,0.07895064353942871,0,best_episode_model
46,13722,22.950684,success,6.0071598,0.95,0.09499433636665344,0,best_average_model
123
