episode,timesteps,reward,recent_average_reward,saved
1,800,-545.504881,-545.504881,best_episode_model+best_average_model
2,1600,-259.971237,-402.73805899999996,best_episode_model+best_average_model
6,4800,-244.557676,-433.7838346666667,best_episode_model
15,11760,18.780818,-462.4624005333333,best_episode_model
20,15346,156.533265,-403.32072155,best_episode_model
21,15934,-49.846476,-378.5378012999999,best_average_model
22,16472,86.576237,-361.2104275999999,best_average_model
23,17054,98.55583,-324.11380899999995,best_average_model
24,17735,72.432117,-304.3513552999999,best_average_model
26,19143,72.987086,-290.34845304999993,best_average_model
27,19701,94.413673,-256.38707909999994,best_average_model
28,20501,-330.532602,-240.89812629999997,best_average_model
29,20999,148.425877,-187.85956035,best_average_model
30,21586,98.141698,-159.05929775000004,best_average_model
31,22022,169.533741,-138.11993195,best_episode_model+best_average_model
32,22539,141.900836,-107.92880155000003,best_average_model
33,23120,120.949514,-71.92679264999997,best_average_model
34,23603,144.096796,-43.3512855,best_average_model
35,24175,97.249705,-39.42784114999999,best_average_model
36,24898,49.049666,-32.20936829999999,best_average_model
37,25498,143.512977,-3.254034249999991,best_average_model
39,26772,203.462465,17.166655900000002,best_episode_model+best_average_model
40,27270,159.557059,17.317845600000005,best_average_model
41,27770,173.210599,28.470699350000007,best_average_model
42,28388,153.02601,31.793188000000008,best_average_model
43,28941,165.438211,35.13730705000001,best_average_model
44,29601,151.198093,39.07560585,best_average_model
45,30088,81.383451,74.3429,best_average_model
46,30593,203.091436,80.8481175,best_average_model
47,31236,126.723419,82.4636048,best_average_model
48,31876,138.388811,105.90967544999998,best_average_model
49,32465,169.081138,106.94243849999998,best_average_model
50,33080,170.014466,110.53607689999998,best_average_model
59,39043,211.438144,76.06211455000002,best_episode_model
102,68382,212.04143,19.98180949999999,best_episode_model
