#{"t_start": 1780150095.4780834, "env_id": "None"}
r,l,t
-507.904451,135,10.435627
-443.357908,117,19.073163
-429.73474,114,27.352129
-782.724653,900,77.372739
-422.513322,115,85.369711
-498.941877,145,95.375329
-420.321095,107,103.753981
-455.588821,121,112.47497
-453.022459,117,120.708215
-535.275729,152,131.176713
-453.576742,136,141.152545
-483.963911,142,150.987423
-516.041189,147,161.324085
-463.581196,137,170.930713
-481.88276,141,180.697432
-521.866442,148,190.935306
-430.466259,116,199.521091
-458.686432,137,209.366245
-420.688709,114,217.924496
-471.766521,141,227.741929
-506.223046,145,237.82613
-422.916067,112,246.442043
-431.30287,113,254.455108
-519.274136,144,264.306077
-494.336846,143,274.305745
-468.032208,137,284.212438
-503.56019,147,294.126977
-483.411776,142,304.103362
-774.422163,900,353.81093
-470.649015,144,363.848042
-436.334628,137,373.899141
-458.219711,145,384.00571
-467.24464,147,394.181346
-731.763696,900,444.189184
-470.394546,143,454.209363
-490.992314,146,464.422328
-453.185588,140,474.459053
-442.386938,141,483.862338
-468.083127,146,494.165755
-697.516547,900,543.846457
-466.038325,142,553.384465
-453.283699,141,563.498654
-454.362456,143,572.950789
-463.397405,143,583.017578
-464.704344,144,593.117879
-446.344894,139,603.22192
-471.198467,143,613.193443
-467.732329,145,623.349092
-486.734073,155,633.971916
-468.313529,143,643.969141
-462.679583,145,654.121114
-465.734063,142,664.022641
-456.486646,140,674.096756
-482.73979,151,684.596725
-477.291396,146,694.804264
-413.211947,115,703.498268
-436.924038,137,713.186209
-460.658156,143,723.224842
-441.520808,141,732.599468
-579.503743,228,747.25882
-465.042818,142,756.995524
-469.044138,145,766.973617
-444.985644,127,776.848123
-466.355319,144,786.861449
-409.727552,114,794.942803
-407.882064,113,803.328618
-452.378652,144,813.454862
-465.987383,143,822.982523
-472.776613,144,832.88135
-477.485471,144,842.343268
-461.929755,139,852.21925
-399.559907,112,860.410695
-458.461873,142,870.240536
-575.771649,204,883.546649
-421.50162,117,892.092912
-411.147959,115,900.430252
-405.08931,113,908.772533
-413.01608,115,917.118386
-383.308517,107,925.268529
-422.912987,116,934.086282
-408.634841,113,942.370751
-725.960543,312,961.188624
-404.82292,112,969.044959
-417.818274,116,977.492376
-397.386402,111,985.329355
-401.515651,111,993.828389
-404.001432,113,1001.73864
-462.686584,142,1011.468759
-467.806736,144,1021.018335
-387.887196,107,1029.225624
-487.462135,148,1039.326732
-402.287663,112,1047.144668
-404.476436,113,1055.44418
-447.816176,137,1064.785275
-402.029265,112,1073.0857
-450.643543,141,1082.572663
-471.907697,145,1092.652255
-454.082474,136,1102.339115
-405.915112,113,1110.695682
-424.932883,118,1119.400384
-411.476972,114,1128.078978
-380.93215,107,1136.659247
-481.547808,146,1146.839924
-427.783303,116,1154.92508
-444.937141,117,1163.648981
-413.961856,115,1171.593542
-402.171737,111,1180.116159
-409.520698,114,1188.031667
-421.359752,116,1196.60616
-474.030919,135,1205.6228
-387.846452,107,1213.925792
-416.698038,115,1222.511738
-416.898232,115,1230.763998
-466.049455,143,1240.65042
-439.014231,137,1250.559131
-415.328312,115,1258.930418
-407.078534,113,1266.883196
-419.54111,115,1275.44692
-406.866905,113,1283.405063
-385.932982,107,1291.612246
-423.529996,117,1300.150101
-406.224885,113,1308.147296
-413.486474,114,1316.655782
-396.137667,109,1325.163191
-409.359693,112,1333.466125
-416.790028,113,1341.784514
-567.290223,199,1354.719844
-388.429666,107,1362.656894
-489.766345,151,1373.098719
-443.879193,117,1381.5969
-413.570649,112,1389.797791
-395.716444,107,1398.077845
-411.05432,113,1406.393222
-420.693083,114,1414.911275
-497.768289,156,1425.537202
-404.170098,110,1433.672409
-427.684472,117,1442.265466
-415.548426,115,1450.407805
-482.326966,150,1460.936649
-455.33046,138,1470.760666
-499.305553,155,1481.949754
-414.254876,114,1490.285305
-436.316984,119,1499.240233
-403.73381,108,1508.82075
-418.474153,115,1517.297802
-410.66026,112,1525.435885
-423.640511,116,1534.282419
-428.686656,117,1542.989224
-390.185703,108,1551.088745
-417.309335,114,1559.756757
-414.229713,114,1568.416889
-419.130708,115,1577.104666
-410.334748,107,1585.706504
-412.274592,113,1593.949711
-432.853377,117,1602.806928
-412.849672,114,1611.70866
-426.792812,117,1620.930247
-478.100271,144,1631.883243
-495.347926,150,1642.228408
-445.726545,119,1651.073059
-463.429554,124,1660.422007
-452.250053,140,1671.172574
