episode,timesteps,reward,status,recent_average_reward,recent_success_rate,saved
1,800,-695.53712,timeout,-695.53712,0.0,best_episode_model+best_average_model
5,4000,-693.187329,timeout,-727.952691,0.0,best_episode_model
6,4800,-633.291224,timeout,-712.1757798333333,0.0,best_episode_model
7,5600,-516.030009,timeout,-684.1549554285714,0.0,best_episode_model+best_average_model
9,7200,-569.962452,timeout,-682.6057298888888,0.0,best_average_model
10,8000,-576.294567,timeout,-671.9746136,0.0,best_average_model
11,8800,-319.470335,timeout,-639.9287700909091,0.0,best_episode_model+best_average_model
12,9600,-518.57355,timeout,-629.8158350833334,0.0,best_average_model
14,11200,-395.682714,timeout,-618.5253251428572,0.0,best_average_model
16,12800,-256.885981,timeout,-597.1940765625,0.0,best_episode_model+best_average_model
17,13600,-445.165771,timeout,-588.2512350588235,0.0,best_average_model
18,14400,-473.20968,timeout,-581.8600375555556,0.0,best_average_model
19,15200,-194.258953,timeout,-561.4599804736841,0.0,best_episode_model+best_average_model
20,16000,-224.047208,timeout,-544.58934185,0.0,best_average_model
21,16800,-307.108874,timeout,-525.1679295499999,0.0,best_average_model
22,17600,-417.214261,timeout,-508.4682990499999,0.0,best_average_model
23,18400,-202.726686,timeout,-480.7878153,0.0,best_average_model
24,19200,-291.755081,timeout,-458.2007806499999,0.0,best_average_model
25,20000,-322.265654,timeout,-439.6546969,0.0,best_average_model
26,20800,-197.80913,timeout,-417.8805922,0.0,best_average_model
27,21600,-218.298951,timeout,-402.9940393,0.0,best_average_model
28,22400,-164.733747,timeout,-372.0105052,0.0,best_episode_model+best_average_model
29,23200,-539.190772,timeout,-370.4719212,0.0,best_average_model
30,24000,-244.399375,timeout,-353.87716159999997,0.0,best_average_model
32,25600,-144.63633,timeout,-343.1499877,0.0,best_episode_model+best_average_model
33,26400,-336.74415,timeout,-324.69310435,0.0,best_average_model
34,27200,-197.802142,timeout,-314.79907575000004,0.0,best_average_model
35,28000,-66.0168,timeout,-286.15668115000005,0.0,best_episode_model+best_average_model
37,29600,-60.515068,timeout,-270.7100711500001,0.0,best_episode_model+best_average_model
44,35140,206.63897,success,-261.00558845,0.05,best_episode_model+best_average_model+best_success_model
51,40689,249.495436,success,-245.39822289999998,0.1,best_episode_model+best_average_model+best_success_model
53,42289,-52.243459,timeout,-238.1826372,0.1,best_average_model+best_success_model
60,47698,186.20104,success,-218.44589839999998,0.15,best_average_model+best_success_model
61,48498,-230.118611,timeout,-217.42838385,0.15,best_average_model+best_success_model
74,58643,263.296822,success,-242.17628965000003,0.15,best_episode_model
76,60154,274.40163,success,-218.5786733,0.2,best_episode_model+best_success_model
77,60954,-50.431936,timeout,-214.63669725,0.2,best_average_model+best_success_model
78,61754,-237.185696,timeout,-198.1568673,0.2,best_average_model+best_success_model
79,62554,-287.985143,timeout,-184.12669945,0.2,best_average_model+best_success_model
80,63251,304.01017,success,-178.23624295,0.2,best_episode_model+best_average_model+best_success_model
81,64051,-226.636947,timeout,-178.06215975,0.2,best_average_model+best_success_model
82,64851,-15.962185,timeout,-166.72623694999996,0.2,best_average_model+best_success_model
83,65651,-181.297228,timeout,-160.57536309999995,0.2,best_average_model+best_success_model
