root@surya--Legion-5:/workspace/HW2_Work/part3_plusY# python3 test.py   --stage 4   --variant A   --model models/stage4/variantA/run001/best/best_precision_model.zip   --success-distance 0.10   --episodes 5   --step-dt 0.05   --log-position-every 2
[pose] step=106 target_index=1/1 pos=(0.63, 0.36, 1.43) target=(0.56, 0.03, 1.45) distance=0.34
[pose] step=108 target_index=1/1 pos=(0.72, 0.39, 1.43) target=(0.56, 0.03, 1.45) distance=0.40
[pose] step=110 target_index=1/1 pos=(0.82, 0.45, 1.43) target=(0.56, 0.03, 1.45) distance=0.49
[pose] step=112 target_index=1/1 pos=(0.90, 0.51, 1.43) target=(0.56, 0.03, 1.45) distance=0.59
[pose] step=114 target_index=1/1 pos=(0.95, 0.59, 1.43) target=(0.56, 0.03, 1.45) distance=0.68
[pose] step=116 target_index=1/1 pos=(0.98, 0.65, 1.43) target=(0.56, 0.03, 1.45) distance=0.75
[pose] step=118 target_index=1/1 pos=(0.97, 0.71, 1.43) target=(0.56, 0.03, 1.45) distance=0.79
[pose] step=120 target_index=1/1 pos=(0.92, 0.74, 1.44) target=(0.56, 0.03, 1.45) distance=0.80
[pose] step=122 target_index=1/1 pos=(0.85, 0.76, 1.46) target=(0.56, 0.03, 1.45) distance=0.78
[pose] step=124 target_index=1/1 pos=(0.76, 0.74, 1.48) target=(0.56, 0.03, 1.45) distance=0.74
[pose] step=126 target_index=1/1 pos=(0.67, 0.71, 1.50) target=(0.56, 0.03, 1.45) distance=0.69
[pose] step=128 target_index=1/1 pos=(0.58, 0.66, 1.51) target=(0.56, 0.03, 1.45) distance=0.63
[pose] step=130 target_index=1/1 pos=(0.52, 0.59, 1.51) target=(0.56, 0.03, 1.45) distance=0.57
[pose] step=132 target_index=1/1 pos=(0.48, 0.52, 1.50) target=(0.56, 0.03, 1.45) distance=0.50
[pose] step=134 target_index=1/1 pos=(0.47, 0.44, 1.49) target=(0.56, 0.03, 1.45) distance=0.42
[pose] step=136 target_index=1/1 pos=(0.49, 0.37, 1.47) target=(0.56, 0.03, 1.45) distance=0.35
[pose] step=138 target_index=1/1 pos=(0.54, 0.31, 1.44) target=(0.56, 0.03, 1.45) distance=0.28
[pose] step=140 target_index=1/1 pos=(0.61, 0.27, 1.42) target=(0.56, 0.03, 1.45) distance=0.25
[pose] step=142 target_index=1/1 pos=(0.70, 0.26, 1.40) target=(0.56, 0.03, 1.45) distance=0.27
[pose] step=144 target_index=1/1 pos=(0.79, 0.27, 1.39) target=(0.56, 0.03, 1.45) distance=0.34
[pose] step=146 target_index=1/1 pos=(0.88, 0.31, 1.37) target=(0.56, 0.03, 1.45) distance=0.43
[pose] step=148 target_index=1/1 pos=(0.96, 0.37, 1.36) target=(0.56, 0.03, 1.45) distance=0.53
[pose] step=150 target_index=1/1 pos=(1.00, 0.44, 1.36) target=(0.56, 0.03, 1.45) distance=0.61
[pose] step=152 target_index=1/1 pos=(1.02, 0.53, 1.37) target=(0.56, 0.03, 1.45) distance=0.68
[pose] step=154 target_index=1/1 pos=(1.01, 0.61, 1.38) target=(0.56, 0.03, 1.45) distance=0.74
[pose] step=156 target_index=1/1 pos=(0.97, 0.69, 1.40) target=(0.56, 0.03, 1.45) distance=0.78
[pose] step=158 target_index=1/1 pos=(0.91, 0.75, 1.42) target=(0.56, 0.03, 1.45) distance=0.80
[pose] step=160 target_index=1/1 pos=(0.83, 0.78, 1.44) target=(0.56, 0.03, 1.45) distance=0.80
[pose] step=162 target_index=1/1 pos=(0.74, 0.80, 1.47) target=(0.56, 0.03, 1.45) distance=0.79
[pose] step=164 target_index=1/1 pos=(0.64, 0.79, 1.49) target=(0.56, 0.03, 1.45) distance=0.76
[pose] step=166 target_index=1/1 pos=(0.54, 0.76, 1.51) target=(0.56, 0.03, 1.45) distance=0.73
[pose] step=168 target_index=1/1 pos=(0.46, 0.71, 1.52) target=(0.56, 0.03, 1.45) distance=0.70
[pose] step=170 target_index=1/1 pos=(0.40, 0.65, 1.53) target=(0.56, 0.03, 1.45) distance=0.65
[pose] step=172 target_index=1/1 pos=(0.35, 0.58, 1.52) target=(0.56, 0.03, 1.45) distance=0.59
[pose] step=174 target_index=1/1 pos=(0.33, 0.49, 1.51) target=(0.56, 0.03, 1.45) distance=0.52
[pose] step=176 target_index=1/1 pos=(0.34, 0.40, 1.49) target=(0.56, 0.03, 1.45) distance=0.43
[pose] step=178 target_index=1/1 pos=(0.36, 0.31, 1.47) target=(0.56, 0.03, 1.45) distance=0.34
[pose] step=180 target_index=1/1 pos=(0.41, 0.23, 1.45) target=(0.56, 0.03, 1.45) distance=0.25
[pose] step=182 target_index=1/1 pos=(0.47, 0.18, 1.42) target=(0.56, 0.03, 1.45) distance=0.17
[pose] step=184 target_index=1/1 pos=(0.55, 0.14, 1.39) target=(0.56, 0.03, 1.45) distance=0.12
[pose] step=186 target_index=1/1 pos=(0.65, 0.12, 1.37) target=(0.56, 0.03, 1.45) distance=0.15
[pose] step=188 target_index=1/1 pos=(0.75, 0.13, 1.35) target=(0.56, 0.03, 1.45) distance=0.24
[pose] step=190 target_index=1/1 pos=(0.85, 0.15, 1.33) target=(0.56, 0.03, 1.45) distance=0.33
[pose] step=192 target_index=1/1 pos=(0.94, 0.18, 1.32) target=(0.56, 0.03, 1.45) distance=0.43
[pose] step=194 target_index=1/1 pos=(1.01, 0.24, 1.31) target=(0.56, 0.03, 1.45) distance=0.52
[pose] step=196 target_index=1/1 pos=(1.06, 0.31, 1.30) target=(0.56, 0.03, 1.45) distance=0.59
[pose] step=198 target_index=1/1 pos=(1.09, 0.39, 1.31) target=(0.56, 0.03, 1.45) distance=0.66
[pose] step=200 target_index=1/1 pos=(1.10, 0.49, 1.32) target=(0.56, 0.03, 1.45) distance=0.72
[pose] step=202 target_index=1/1 pos=(1.09, 0.59, 1.34) target=(0.56, 0.03, 1.45) distance=0.78
[pose] step=204 target_index=1/1 pos=(1.06, 0.68, 1.36) target=(0.56, 0.03, 1.45) distance=0.83
[pose] step=206 target_index=1/1 pos=(1.02, 0.76, 1.39) target=(0.56, 0.03, 1.45) distance=0.87
[pose] step=208 target_index=1/1 pos=(0.96, 0.82, 1.41) target=(0.56, 0.03, 1.45) distance=0.88
[pose] step=210 target_index=1/1 pos=(0.88, 0.86, 1.43) target=(0.56, 0.03, 1.45) distance=0.89
[pose] step=212 target_index=1/1 pos=(0.79, 0.88, 1.46) target=(0.56, 0.03, 1.45) distance=0.88
[pose] step=214 target_index=1/1 pos=(0.68, 0.88, 1.48) target=(0.56, 0.03, 1.45) distance=0.86
[pose] step=216 target_index=1/1 pos=(0.58, 0.88, 1.51) target=(0.56, 0.03, 1.45) distance=0.85
[pose] step=218 target_index=1/1 pos=(0.47, 0.86, 1.54) target=(0.56, 0.03, 1.45) distance=0.84
[pose] step=220 target_index=1/1 pos=(0.38, 0.84, 1.56) target=(0.56, 0.03, 1.45) distance=0.83
[pose] step=222 target_index=1/1 pos=(0.30, 0.79, 1.57) target=(0.56, 0.03, 1.45) distance=0.82
[pose] step=224 target_index=1/1 pos=(0.23, 0.73, 1.57) target=(0.56, 0.03, 1.45) distance=0.79
[pose] step=226 target_index=1/1 pos=(0.19, 0.66, 1.56) target=(0.56, 0.03, 1.45) distance=0.74
[pose] step=228 target_index=1/1 pos=(0.16, 0.57, 1.55) target=(0.56, 0.03, 1.45) distance=0.67
[pose] step=230 target_index=1/1 pos=(0.15, 0.47, 1.53) target=(0.56, 0.03, 1.45) distance=0.60
[pose] step=232 target_index=1/1 pos=(0.15, 0.36, 1.51) target=(0.56, 0.03, 1.45) distance=0.53
[pose] step=234 target_index=1/1 pos=(0.17, 0.26, 1.49) target=(0.56, 0.03, 1.45) distance=0.46
[pose] step=236 target_index=1/1 pos=(0.20, 0.16, 1.46) target=(0.56, 0.03, 1.45) distance=0.39
[pose] step=238 target_index=1/1 pos=(0.24, 0.09, 1.43) target=(0.56, 0.03, 1.45) distance=0.32
[pose] step=240 target_index=1/1 pos=(0.31, 0.03, 1.40) target=(0.56, 0.03, 1.45) distance=0.25
[pose] step=242 target_index=1/1 pos=(0.39, -0.00, 1.38) target=(0.56, 0.03, 1.45) distance=0.18
[pose] step=244 target_index=1/1 pos=(0.49, -0.02, 1.36) target=(0.56, 0.03, 1.45) distance=0.12
[pose] step=246 target_index=1/1 pos=(0.60, -0.03, 1.34) target=(0.56, 0.03, 1.45) distance=0.13
[pose] step=248 target_index=1/1 pos=(0.72, -0.03, 1.32) target=(0.56, 0.03, 1.45) distance=0.21
[pose] step=250 target_index=1/1 pos=(0.83, -0.03, 1.31) target=(0.56, 0.03, 1.45) distance=0.31
[pose] step=252 target_index=1/1 pos=(0.93, -0.01, 1.29) target=(0.56, 0.03, 1.45) distance=0.41
[pose] step=254 target_index=1/1 pos=(1.02, 0.02, 1.28) target=(0.56, 0.03, 1.45) distance=0.49
[pose] step=256 target_index=1/1 pos=(1.09, 0.07, 1.27) target=(0.56, 0.03, 1.45) distance=0.56
[pose] step=258 target_index=1/1 pos=(1.13, 0.14, 1.26) target=(0.56, 0.03, 1.45) distance=0.61
[pose] step=260 target_index=1/1 pos=(1.17, 0.23, 1.27) target=(0.56, 0.03, 1.45) distance=0.66
[pose] step=262 target_index=1/1 pos=(1.19, 0.34, 1.28) target=(0.56, 0.03, 1.45) distance=0.72
[pose] step=264 target_index=1/1 pos=(1.19, 0.45, 1.31) target=(0.56, 0.03, 1.45) distance=0.77
[pose] step=266 target_index=1/1 pos=(1.19, 0.56, 1.33) target=(0.56, 0.03, 1.45) distance=0.83
[pose] step=268 target_index=1/1 pos=(1.18, 0.66, 1.35) target=(0.56, 0.03, 1.45) distance=0.89
[pose] step=270 target_index=1/1 pos=(1.15, 0.75, 1.37) target=(0.56, 0.03, 1.45) distance=0.94
[pose] step=272 target_index=1/1 pos=(1.10, 0.82, 1.39) target=(0.56, 0.03, 1.45) distance=0.96
[pose] step=274 target_index=1/1 pos=(1.04, 0.87, 1.41) target=(0.56, 0.03, 1.45) distance=0.97
[pose] step=276 target_index=1/1 pos=(0.95, 0.90, 1.43) target=(0.56, 0.03, 1.45) distance=0.96
[pose] step=278 target_index=1/1 pos=(0.85, 0.92, 1.46) target=(0.56, 0.03, 1.45) distance=0.94
[pose] step=280 target_index=1/1 pos=(0.74, 0.93, 1.49) target=(0.56, 0.03, 1.45) distance=0.92
[pose] step=282 target_index=1/1 pos=(0.62, 0.94, 1.52) target=(0.56, 0.03, 1.45) distance=0.91
[pose] step=284 target_index=1/1 pos=(0.50, 0.94, 1.55) target=(0.56, 0.03, 1.45) distance=0.91
[pose] step=286 target_index=1/1 pos=(0.40, 0.93, 1.57) target=(0.56, 0.03, 1.45) distance=0.92
[pose] step=288 target_index=1/1 pos=(0.30, 0.90, 1.59) target=(0.56, 0.03, 1.45) distance=0.92
