#{"t_start": 1780137243.9499102, "env_id": "None"}
r,l,t
-215.563159,169,11.939872
-237.011477,208,25.259478
-244.827662,164,36.539283
-219.683237,204,50.246899
-201.892675,177,62.078236
-391.746212,249,78.178113
-264.667667,179,90.125906
-183.886052,190,103.72875
-279.389235,234,118.528612
-239.594745,172,129.966054
-204.152415,151,140.678778
-204.342936,188,152.711998
-230.069528,191,165.313945
-177.021986,181,177.640333
-223.483373,200,190.160699
-175.646954,182,202.299372
-177.7652,577,235.778802
-192.135137,173,247.420048
-197.582492,165,258.623634
-165.293194,154,269.120445
-1033.958599,1800,366.682905
-179.227013,166,377.52783
-185.446004,147,388.133613
-206.511027,143,398.06497
-240.620458,186,410.36549
-169.727521,138,420.080452
-178.070726,140,429.891655
-211.606515,176,441.239442
-189.081426,158,451.950117
-173.582084,140,462.259278
-201.630069,159,472.939644
-184.851433,127,482.195507
-189.138543,159,494.347841
-209.318554,174,506.184934
-180.075242,152,516.69188
-172.673304,129,526.278527
-224.032105,160,537.225335
-412.655663,904,587.657355
-196.050446,136,597.191299
-203.779478,134,606.322575
-185.334489,132,615.690793
-195.429648,122,624.710051
-191.312586,163,635.896658
-273.348587,157,646.411317
-180.074555,134,656.466002
-637.03547,1352,730.566872
-200.266068,158,741.481275
-163.304385,127,751.063105
-588.14062,1278,821.749687
-174.086101,142,831.14111
-166.130365,129,840.645559
-148.543894,124,849.481086
-157.064768,126,858.444785
-184.582318,140,867.807135
-161.510998,123,876.91774
-154.197925,128,886.094171
-209.913276,167,897.162503
-186.830425,147,907.499539
-197.854266,150,917.796624
-163.869184,129,926.957107
-166.573987,133,936.430366
-157.07913,136,946.306279
-159.316419,125,954.892457
-199.281429,146,964.841997
-153.297303,131,974.128748
-159.050338,125,982.974169
-153.366743,126,992.00411
-128.093833,451,1018.170319
-149.172608,119,1026.833808
-179.220319,137,1036.402679
-143.343892,120,1045.441057
-160.004811,128,1054.84917
-146.232672,125,1063.741485
-235.212971,688,1102.345036
-160.119805,127,1111.717969
-152.56977,135,1121.096515
-154.970876,132,1130.01795
-149.47994,128,1139.058097
-159.660135,120,1148.002998
-163.732167,137,1157.630135
-158.348036,131,1166.596305
-170.98624,137,1176.196153
