episode,timesteps,reward,recent_average_reward,saved
1,800,-282.650877,-282.650877,best_episode_model+best_average_model
7,5211,185.605248,-373.39367042857145,best_episode_model
13,9367,213.452805,-289.6421822307692,best_episode_model
14,9973,168.703064,-256.9032360714286,best_average_model
15,10512,171.738712,-228.3271062,best_average_model
16,10980,165.912982,-203.68710068750002,best_average_model
22,14806,208.449335,-178.44635575000004,best_average_model
23,15198,172.665066,-143.44984370000003,best_average_model
24,15562,217.275833,-115.50832075000001,best_episode_model+best_average_model
25,15899,212.026227,-74.19327765000003,best_average_model
26,16389,174.55077,-32.21334675000001,best_average_model
28,17248,164.312705,-9.678167000000002,best_average_model
29,17728,212.164468,37.3265587,best_average_model
30,18090,158.964825,38.84408855,best_average_model
31,18611,144.81875,60.39774485,best_average_model
32,19209,162.861649,77.70255375,best_average_model
33,19483,294.061806,81.73300379999999,best_episode_model+best_average_model
37,21694,161.400794,114.30444130000001,best_average_model
83,50078,336.559858,50.227883999999996,best_episode_model
