episode,timesteps,reward,status,recent_average_reward,recent_success_rate,saved
1,800,-423.872384,timeout,-423.872384,0.0,best_episode_model+best_average_model
6,4800,-323.982736,timeout,-532.8569131666667,0.0,best_episode_model
11,8800,-292.455092,timeout,-469.65975099999997,0.0,best_episode_model
12,9600,-278.007503,timeout,-453.6887303333333,0.0,best_episode_model
13,10400,-178.464601,timeout,-432.5176434615384,0.0,best_episode_model
15,12000,-365.188974,timeout,-420.7372356666666,0.0,best_average_model
16,12800,-345.051227,timeout,-416.00686012499995,0.0,best_average_model
17,13600,-245.496986,timeout,-405.9768675294117,0.0,best_average_model
18,14400,-305.783484,timeout,-400.4105684444444,0.0,best_average_model
19,15200,-168.33455,timeout,-388.1960411578946,0.0,best_episode_model+best_average_model
20,16000,-88.61815,timeout,-373.2171465999999,0.0,best_episode_model+best_average_model
21,16800,-156.932821,timeout,-359.87016845,0.0,best_average_model
22,17600,-191.837842,timeout,-330.69597704999995,0.0,best_average_model
23,18400,-222.038637,timeout,-308.50459874999996,0.0,best_average_model
24,19200,-284.55377,timeout,-294.99966409999996,0.0,best_average_model
25,20000,-109.427028,timeout,-277.79871434999995,0.0,best_average_model
26,20800,-148.508352,timeout,-269.02499515000005,0.0,best_average_model
27,21600,-205.709892,timeout,-257.68727509999997,0.0,best_average_model
28,22400,-134.893552,timeout,-243.3418017,0.0,best_average_model
29,23200,-349.97497,timeout,-238.76310454999998,0.0,best_average_model
30,24000,-103.620752,timeout,-224.90191894999992,0.0,best_average_model
31,24800,-222.973254,timeout,-221.42782705,0.0,best_average_model
33,26332,210.964756,success,-203.19699699999998,0.05,best_episode_model+best_average_model+best_success_model
37,29346,235.563511,success,-180.24774510000003,0.1,best_episode_model+best_average_model+best_success_model
38,30146,-299.455509,timeout,-179.93134635,0.1,best_average_model+best_success_model
43,33946,212.772103,success,-202.80822744999998,0.15,best_success_model
66,52074,245.999682,success,-399.2656695999999,0.05,best_episode_model
