#{"t_start": 1780054129.4127882, "env_id": "None"}
r,l,t
211.018683,514,5.516768
-324.313968,800,10.249313
252.599349,396,14.103571
-345.280086,800,19.100034
-276.70337,800,23.279773
228.279398,540,27.014198
260.405246,417,31.133013
171.32312,518,35.249545
243.293709,356,39.198334
204.296269,494,42.926322
-224.16643,800,47.469844
-204.158841,800,51.974007
-180.803941,800,56.126336
251.71564,451,60.233467
268.463279,458,64.214222
267.580119,294,67.927847
-154.96896,800,73.717811
-205.463311,800,78.566103
208.205,427,83.316545
178.394644,637,87.341718
239.839677,498,91.318934
-200.606221,800,95.17941
-258.573432,800,100.46604
-245.72524,800,105.483423
-172.927715,800,110.267394
187.807093,438,114.394303
262.802468,447,118.528184
-417.727789,800,123.902314
-205.607778,800,128.39598
-166.092247,800,132.744139
-313.831797,800,136.866579
-198.798331,800,141.70853
199.599717,548,145.235959
-398.236025,800,149.581754
-356.66241,800,154.710392
209.213985,411,159.070173
195.312927,509,163.156838
169.968914,567,166.635226
-426.992789,800,171.104211
-853.027739,800,176.11
201.371573,498,180.277592
220.43379,410,184.2265
-355.744434,800,189.81063
221.474285,450,193.486243
-542.008392,800,198.625885
-484.70428,800,202.689598
219.306015,364,206.926412
-519.250298,800,211.351613
-606.769396,800,215.450277
188.310998,558,219.414752
-430.103262,800,223.791083
95.289108,669,227.882026
-356.127875,800,231.732159
-545.97941,800,236.44651
214.165416,591,239.677833
-526.056602,800,244.352911
-290.814519,800,248.541519
-570.172424,800,252.718031
179.552835,638,256.630296
-543.881149,800,261.233978
-432.381298,800,265.495518
-429.803269,800,270.074369
196.960666,578,273.99331
240.913818,360,277.741557
178.528794,717,282.08725
226.117529,493,285.760499
-326.597139,800,290.400636
166.549482,622,294.245693
-188.476599,800,298.465887
-378.029594,800,302.774047
167.942761,622,306.678165
-356.649369,800,311.026355
194.153032,559,314.889136
216.724979,433,318.910808
175.079188,604,322.726769
-721.376288,800,327.853689
