#{"t_start": 1780036727.1226873, "env_id": "None"}
r,l,t
-376.658033,800,5.385211
-363.4443,800,9.797205
-377.300581,800,14.05063
-137.474912,800,18.666323
-404.771347,800,22.462578
-292.310215,800,26.940629
-383.026763,800,30.744129
-392.456307,800,35.066828
-241.54864,800,39.3952
-341.73374,800,43.47702
-261.496899,800,48.146562
-335.826458,800,52.448605
-346.166153,800,56.447432
-307.165319,800,60.644552
-244.007484,737,64.740115
-300.895203,800,68.948421
-319.477114,800,73.04114
-364.472121,800,77.279984
-221.122333,768,81.282961
-259.350507,769,85.462323
-207.258518,753,89.694146
-271.146806,798,93.645076
-280.552058,800,97.632488
-132.263319,589,101.76584
-254.52096,800,106.222918
-164.460827,717,110.333648
-259.465172,800,114.386749
-258.743396,800,118.555875
9.955196,595,122.022264
-316.138734,800,126.64747
-141.236921,646,130.024154
-180.557791,605,134.116518
-164.878051,725,137.626065
-238.806809,800,141.56945
-231.493213,524,145.849713
-138.00508,590,149.409471
-122.959509,577,153.304147
-138.512833,631,157.140079
-107.3209,626,161.140592
-290.431951,800,165.647695
-77.946133,401,169.903515
-88.337894,483,174.278146
-142.615642,599,178.131414
-333.792687,800,182.749108
-340.214197,800,187.733295
-152.560365,747,191.703985
-291.320576,800,195.728035
-95.105415,574,199.600017
-263.410499,800,203.593988
-251.028473,800,207.729278
-261.940946,800,211.598403
-235.890592,800,215.682743
-258.205956,800,220.138459
-138.726367,750,224.182632
-280.659283,800,228.284822
-233.134461,800,232.376837
-183.12864,642,236.089903
-104.374406,561,239.946972
-93.909282,538,243.704769
-105.703501,564,247.102846
-122.737659,655,250.93707
-201.199822,641,254.321618
-71.682942,457,258.033063
-105.126552,513,261.976775
-173.085052,587,265.732862
-165.61947,544,269.214618
-128.365481,642,272.972286
-121.568416,647,276.861743
-205.793688,800,280.926062
-209.102593,800,285.047363
-105.536154,643,288.721471
-235.436104,603,292.749466
-220.930763,800,296.452743
-248.422241,800,300.834686
-227.426184,800,304.527614
-177.7328,800,308.931654
-115.595365,607,312.341288
-217.626088,800,316.736499
-152.062291,689,320.110553
-232.510972,800,324.07458
-134.297997,529,328.004709
-281.143228,800,331.568298
-253.845052,800,335.814669
-269.305297,800,339.798321
-107.385831,664,343.498777
-131.982824,602,347.370931
-120.145441,587,350.67556
-324.633957,800,354.837275
-127.384521,580,358.376939
-297.168275,800,362.415333
-359.590113,800,366.663138
-339.839965,800,370.304406
-163.052541,766,374.564097
-325.194151,800,378.811316
-155.250664,636,382.878591
-383.61143,800,386.475309
-304.018186,800,390.729414
