episode,timesteps,reward,status,recent_average_reward,recent_success_rate,saved
1,800,-529.634453,timeout,-529.634453,0.0,best_episode_model+best_average_model
4,3200,-277.487573,timeout,-600.7823344999999,0.0,best_episode_model
7,5486,-118.647113,success,-548.9654431428571,0.14285714285714285,best_episode_model+best_success_model
8,6148,-52.305881,success,-486.882997875,0.25,best_episode_model+best_average_model+best_success_model
9,6897,5.797917,success,-432.140674,0.3333333333333333,best_episode_model+best_average_model+best_success_model
10,7359,127.846777,success,-376.1419289,0.4,best_episode_model+best_average_model+best_success_model
11,7733,231.449148,success,-320.9063764545454,0.45454545454545453,best_episode_model+best_average_model+best_success_model
12,8422,-15.988818,success,-295.49657991666663,0.5,best_average_model+best_success_model
14,9821,38.100983,success,-285.1044685,0.5,best_average_model+best_success_model
15,10375,93.191733,success,-259.8847217333333,0.5333333333333333,best_average_model+best_success_model
16,10952,62.781645,success,-239.71807381249997,0.5625,best_average_model+best_success_model
17,11487,117.651597,success,-218.6963284705882,0.5882352941176471,best_average_model+best_success_model
18,12042,108.373703,success,-200.52577116666663,0.6111111111111112,best_average_model+best_success_model
19,12658,55.536636,success,-187.048802368421,0.631578947368421,best_average_model+best_success_model
20,13371,-87.825484,success,-182.08763644999996,0.65,best_average_model+best_success_model
21,13825,121.269409,success,-149.54244334999999,0.7,best_average_model+best_success_model
22,14337,116.965873,success,-97.11684419999997,0.75,best_average_model+best_success_model
23,14854,121.55357,success,-57.81610559999999,0.8,best_average_model+best_success_model
24,15590,-12.200479,success,-44.5517509,0.85,best_average_model+best_success_model
25,16112,139.980014,success,-3.6936902499999946,0.9,best_average_model+best_success_model
26,16682,168.149887,success,36.9038267,0.95,best_average_model+best_success_model
27,17123,104.131709,success,48.0427678,0.95,best_average_model+best_success_model
28,17603,165.799757,success,58.9480497,0.95,best_average_model+best_success_model
29,18131,159.477445,success,66.6320261,0.95,best_average_model+best_success_model
30,18649,152.207923,success,67.85008339999999,0.95,best_average_model+best_success_model
51,30828,203.731012,success,83.95785679999997,0.9,best_average_model
52,31258,192.241552,success,89.45272895,0.9,best_average_model
53,31745,166.399342,success,92.70737019999999,0.9,best_average_model
54,32370,94.847644,success,114.43627129999997,0.95,best_average_model+best_success_model
55,32961,122.370699,success,117.76565889999998,0.95,best_average_model+best_success_model
56,33416,200.031777,success,124.40733344999998,0.95,best_average_model+best_success_model
57,34007,123.637665,success,124.62509505,0.95,best_average_model+best_success_model
58,34526,172.235425,success,127.7012798,0.95,best_average_model+best_success_model
60,35764,243.498105,success,115.59628324999998,0.9,best_episode_model
82,47698,209.224157,success,148.9005036,0.95,best_average_model+best_success_model
83,48378,86.331402,success,171.75887659999998,1.0,best_average_model+best_success_model
97,56468,333.536781,success,90.10017150000002,0.85,best_episode_model
