episode,timesteps,reward,status,recent_average_reward,recent_success_rate,saved
1,800,-482.943625,timeout,-482.943625,0.0,best_episode_model+best_average_model
2,1600,-380.931426,timeout,-431.9375255,0.0,best_episode_model+best_average_model
8,6400,-264.845507,timeout,-519.70716325,0.0,best_episode_model
11,8800,-251.244984,timeout,-467.72449545454543,0.0,best_episode_model
14,11200,-144.0939,timeout,-439.4271014285714,0.0,best_episode_model
15,12000,-275.16506,timeout,-428.47629866666665,0.0,best_average_model
16,12800,-121.975913,timeout,-409.3200245625,0.0,best_episode_model+best_average_model
17,13600,-156.446636,timeout,-394.44511935294116,0.0,best_average_model
18,14400,-153.476402,timeout,-381.05796838888887,0.0,best_average_model
19,15200,-171.986817,timeout,-370.05422357894736,0.0,best_average_model
20,16000,-341.60365,timeout,-368.6316949,0.0,best_average_model
21,16800,-129.658767,timeout,-350.967452,0.0,best_average_model
23,18400,-161.293574,timeout,-324.43360595,0.0,best_average_model
24,19200,-359.808546,timeout,-308.3509151,0.0,best_average_model
25,20000,-249.333513,timeout,-289.73455265,0.0,best_average_model
26,20800,-271.939812,timeout,-274.93508779999996,0.0,best_average_model
27,21600,-266.233195,timeout,-266.42029284999995,0.0,best_average_model
28,22400,-167.115193,timeout,-261.53377714999993,0.0,best_average_model
29,23200,-326.169819,timeout,-257.68782064999994,0.0,best_average_model
30,24000,-259.218591,timeout,-253.99983964999996,0.0,best_average_model
33,26400,-255.189775,timeout,-245.99045474999997,0.0,best_average_model
35,28000,-134.556604,timeout,-241.55400584999998,0.0,best_average_model
42,33600,-45.716807,timeout,-285.70437799999996,0.0,best_episode_model
59,47200,-152.5636,timeout,-239.51912645000002,0.0,best_average_model
60,48000,-153.951427,timeout,-209.1096301,0.0,best_average_model
65,52000,44.794772,timeout,-203.8349217,0.0,best_episode_model+best_average_model
67,53600,-29.259434,timeout,-188.82298699999998,0.0,best_average_model
70,56000,-192.837871,timeout,-185.75340244999995,0.0,best_average_model
73,58367,297.661451,success,-158.32485279999997,0.05,best_episode_model+best_average_model+best_success_model
78,62194,313.827291,success,-154.80445055,0.1,best_episode_model+best_average_model+best_success_model
81,64594,-243.982281,timeout,-150.39129044999999,0.1,best_average_model+best_success_model
82,65394,-120.14925,timeout,-146.183743,0.1,best_average_model+best_success_model
83,66194,-196.790298,timeout,-139.38511375,0.1,best_average_model+best_success_model
84,66994,-116.932497,timeout,-138.65692249999998,0.1,best_average_model+best_success_model
