episode,timesteps,reward,status,recent_average_reward,recent_success_rate,distance_to_target,targets_reached,saved
1,294,-153.680367,success,-153.680367,1.0,0.08411304652690887,0,best_episode_model+best_average_model+best_success_model+best_precision_model
4,1403,16.720413,success,-223.87842899999998,1.0,0.07582943886518478,0,best_episode_model+best_precision_model
6,1771,56.145025,success,-174.5241408333333,1.0,0.09301570802927017,0,best_episode_model
14,4020,55.035097,success,-193.32653907142853,0.8571428571428571,0.07542933523654938,0,best_precision_model
20,6150,62.292348,success,-219.99416759999994,0.8,0.0957174226641655,0,best_episode_model
24,7292,-154.779756,success,-217.13586399999994,0.75,0.06804745644330978,0,best_precision_model
28,7962,-136.204736,success,-147.384918,0.85,0.08270435780286789,0,best_average_model
31,8469,49.179947,success,-145.48303969999998,0.85,0.09722360223531723,0,best_average_model
35,9064,-151.959194,success,-128.61514240000002,0.9,0.07960931211709976,0,best_average_model
36,9304,-125.545342,success,-97.23858084999999,0.95,0.09039735049009323,0,best_average_model
37,9484,-120.813968,success,-95.26266934999998,0.95,0.09746934473514557,0,best_average_model
38,9642,-108.97536,success,-95.25545144999998,0.95,0.07810628414154053,0,best_average_model
41,10359,-226.507093,success,-88.2149089,1.0,0.09760595113039017,0,best_average_model
47,12459,64.740822,success,-158.65864585000003,0.9,0.09346148371696472,0,best_episode_model
51,13247,-203.541065,success,-161.54303845,0.9,0.06714800745248795,0,best_precision_model
58,14198,66.679547,success,-146.0354679,0.9,0.05695650354027748,0,best_episode_model+best_precision_model
63,14963,18.069726,success,-59.52331570000001,1.0,0.07747466117143631,0,best_average_model
64,15048,5.364466,success,-47.003293000000006,1.0,0.09430067241191864,0,best_average_model
65,15130,20.844784,success,-46.254138000000005,1.0,0.09151774644851685,0,best_average_model
86,19203,68.700835,success,-114.10613039999998,0.9,0.09346193075180054,0,best_episode_model
